Movie,Director,Distribution,Star,Rating,Budget,BoxOffice,RunningTime,Genre,Year,Month,Tomatometer
TheSantaClause3:TheEscapeClause,MichaelLembeck,BuenaVistaPictures,TimAllen,G,22.035,135.6,92,Fantasy,2006,November,0.17
Volver,PedroAlmodovar,SonyPicturesClassics,PenelopeCruz,R,17.261,104.8,121,Drama,2006,November,0.91
StrangerThanFiction,MarcForster,ColumbiaPictures,WillFerrell,PG13,55.087,65.7,113,Comedy,2006,November,0.72
AGoodYear,RidleyScott,20thCenturyFox,RussellCrowe,PG13,64.269,51.5,118,Romance,2006,November,0.26
TheReturn,AsifKapadia,UniversalPictures,SarahMichelleGellar,PG13,27.544,14.7,86,Horror,2006,November,0.16
HarshTimes,DavidAyer,MetroGoldwynMayer,ChristianBale,R,3.672,7.3,116,Crime,2006,November,0.48
CasinoRoyale,MartinCampbell,MetroGoldwynMayer,DanielCraig,PG13,275.437,733.3,144,Spy,2006,November,0.94
HappyFeet,GeorgeMiller,WarnerBros.Pictures,ElijahWood,PG,183.625,470.4,108,Animated,2006,November,0.75
Bobby,EmilioEstevez,MetroGoldwynMayer,HarryBelafonte,R,25.707,25.3,116,Drama,2006,November,0.46
ForYourConsideration,ChristopherGuest,WarnerBros.Pictures,BobBalaban,PG13,22.035,7.2,86,Comedy,2006,November,0.51
LetsGotoPrison,BobOdenkirk,UniversalPictures,DaxShephard,R,7.345,5.7,90,Comedy,2006,November,0.12
DejaVu,TonyScott,BuenaVistaPictures,DenzelWashington,PG13,137.718,221.1,126,SciFi,2006,November,0.55
DecktheHalls,JohnWhitesell,20thCenturyFox,DannyDeVito,PG,93.649,57.3,93,Comedy,2006,November,0.06
TheFountain,DarrenAronofsky,WarnerBros.Pictures,HughJackman,PG13,64.269,19.6,96,Epic,2006,November,0.52
TenaciousDinThePickofDestiny,LiamLynch,NewLineCinema,JackBlack,R,36.725,17,94,Musical,2006,November,0.54
TheNativityStory,CatherineHardwicke,NewLineCinema,KeishaCastleHughes,PG,64.135,56.7,101,Drama,2006,December,0.38
Turistas,JohnStockwell,20thCenturyFox,JoshDuhamel,R,18.324,18,93,Horror,2006,December,0.17
TheHoliday,NancyMeyers,ColumbiaPictures,CameronDiaz,PG13,155.757,250.6,136,Romance,2006,December,0.47
BloodDiamond,EdwardZwick,WarnerBros.Pictures,LeonardoDiCaprio,R,185.076,209.4,143,War,2006,December,0.62
Apocalypto,MelGibson,BuenaVistaPictures,RudyYoungblood,R,73.298,147.4,138,Epic,2006,December,0.65
UnaccompaniedMinors,PaulFeig,WarnerBros.Pictures,LewisBlack,PG,47.643,26.8,87,Comedy,2006,December,0.3
ThePursuitofHappyness,GabrieleMuccino,ColumbiaPictures,WillSmith,PG13,100.784,375.2,117,Biography,2006,December,0.67
Eragon,StefenFangmeier,20thCenturyFox,EdSpeleers,PG,183.244,304.8,103,Action,2006,December,0.16
Dreamgirls,BillCondon,DreamWorksPictures,JamieFoxx,PG13,146.595,189.1,130,Romance,2006,December,0.78
CharlottesWeb,GaryWinick,ParamountPictures,JuliaRoberts,G,155.757,177,97,Comedy,2006,December,0.79
RockyBalboa,SylvesterStallone,MetroGoldwynMayer,SylvesterStallone,PG,43.979,189.4,100,Sports,2006,December,0.76
LettersfromIwoJima,ClintEastwood,WarnerBros.Pictures,KenWatanabe,R,34.816,83.9,140,War,2006,December,0.91
NightattheMuseum,ShawnLevy,20thCenturyFox,BenStiller,PG,201.568,701.8,108,Fantasy,2006,December,0.43
