Movie,Director,Distribution,Star,Rating,Budget,BoxOffice,RunningTime,Genre,Year,Month,Tomatometer
ACivilAction,StevenZaillian,BuenaVistaPictures,JohnTravolta,Unknown,169.72,84.5,115,Drama,1999,January,0.6
AtFirstSight,IrwinWinkler,MetroGoldwynMayer,ValKilmer,Unknown,135.776,33.7,128,Romance,1999,January,0.32
Affliction,PaulSchrader,Lionsgate,NickNolte,Unknown,13.578,9.6,114,Drama,1999,January,0.88
VarsityBlues,BrianRobbins,ParamountPictures,JamesVanDerBeek,Unknown,36.207,81.9,106,Comedy,1999,January,0.4
Virus,JohnBruno,UniversalPictures,JamieLeeCurtis,Unknown,169.72,46.3,99,SciFi,1999,January,0.09
Gloria,SidneyLumet,ColumbiaPictures,SharonStone,Unknown,67.888,6.3,108,Crime,1999,January,0.17
ShesAllThat,RobertIscove,MiramaxFilms,FreddiePrinzeJr.,Unknown,22.629,155.7,97,Romance,1999,January,0.39
Payback,BrianHelgeland,ParamountPictures,MelGibson,Unknown,204.339,244.6,101,Crime,1999,February,0.54
SimplyIrresistible,MarkTarlov,20thCenturyFox,SarahMichelleGellar,Unknown,13.623,6.6,96,Romance,1999,February,0.13
BlastfromthePast,HughWilson,NewLineCinema,BrendanFraser,Unknown,79.465,61,112,Romance,1999,February,0.57
MessageinaBottle,LuisMandoki,WarnerBros.Pictures,KevinCostner,Unknown,181.635,178.6,131,Romance,1999,February,0.32
MyFavoriteMartian,DonaldPetrie,BuenaVistaPictures,JeffDaniels,Unknown,147.578,55.8,93,SciFi,1999,February,0.12
Jawbreaker,DarrenStein,TriStarPictures,RoseMcGowan,Unknown,7.947,4.7,87,Comedy,1999,February,0.07
OctoberSky,JoeJohnston,UniversalPictures,JakeGyllenhaal,Unknown,56.761,52.5,107,Biography,1999,February,0.9
OfficeSpace,MikeJudge,20thCenturyFox,RonLivingston,Unknown,22.704,18.5,89,Comedy,1999,February,0.79
200Cigarettes,RisaBramonGarcia,ParamountPictures,BenAffleck,Unknown,13.623,9.1,101,Comedy,1999,February,0.28
TheOtherSister,GarryMarshall,BuenaVistaPictures,JulietteLewis,Unknown,79.465,42.1,130,Romance,1999,February,0.29
8mm,JoelSchumacher,ColumbiaPictures,NicolasCage,Unknown,90.817,146.2,123,Crime,1999,February,0.22
AnalyzeThis,HaroldRamis,WarnerBros.Pictures,RobertDeNiro,Unknown,181.494,267.6,103,Comedy,1999,March,0.69
CruelIntentions,RogerKumble,ColumbiaPictures,SarahMichelleGellar,Unknown,23.821,114.8,97,Romance,1999,March,0.48
LockStockandTwoSmokingBarrels,GuyRitchie,PolyGramFilmedEntertainment,JasonFlemyng,Unknown,3.063,42.5,106,Crime,1999,March,0.77
TheCorruptor,JamesFoley,NewLineCinema,ChowYunfat,Unknown,56.717,22.8,110,Action,1999,March,0.49
TheDeepEndoftheOcean,UluGrosbard,ColumbiaPictures,MichellePfeiffer,Unknown,86.21,42.5,108,Drama,1999,March,0.44
TheRage:Carrie2,KattShea,MetroGoldwynMayer,EmilyBergl,Unknown,47.642,26.9,105,Horror,1999,March,0.21
BabyGeniuses,BobClark,TriStarPictures,KathleenTurner,Unknown,27.224,55.2,95,Comedy,1999,March,0.02
WingCommander,ChrisRoberts,20thCenturyFox,FreddiePrinzeJr.,Unknown,68.06,17.5,100,SciFi,1999,March,0.1
TrueCrime,ClintEastwood,WarnerBros.Pictures,ClintEastwood,Unknown,124.777,25.2,127,Drama,1999,March,0.54
ForcesofNature,BronwenHughes,DreamWorksPictures,SandraBullock,Unknown,170.15,142,105,Romance,1999,March,0.45
TheKingandI,RichardRich,WarnerBros.Pictures,MirandaRichardson,Unknown,56.717,18.1,89,Animated,1999,March,0.13
Dougs1stMovie,MauriceJoyce,BuenaVistaPictures,TomMcHugh,Unknown,11.343,29.3,83,Animated,1999,March,0.26
EDtv,RonHoward,UniversalPictures,MatthewMcConaughey,Unknown,181.494,53.2,123,Romance,1999,March,0.64
TheModSquad,ScottSilver,MetroGoldwynMayer,ClaireDanes,Unknown,113.434,23.3,92,Thriller,1999,March,0.03
TheMatrix,TheWachowskis,WarnerBros.Pictures,KeanuReeves,Unknown,142.926,701,136,SciFi,1999,March,0.87
10ThingsIHateAboutYou,GilJunger,BuenaVistaPictures,JuliaStiles,Unknown,36.299,80.9,99,Comedy,1999,March,0.62
CookiesFortune,RobertAltman,OctoberFilms,GlennClose,Unknown,22.612,16.4,118,Crime,1999,April,0.86
TheOutofTowners,SamWeisman,ParamountPictures,SteveMartin,Unknown,169.593,42.2,90,Comedy,1999,April,0.27
AWalkontheMoon,TonyGoldwyn,MiramaxFilms,DianeLane,Unknown,31.657,7.2,107,Drama,1999,April,0.72
Go,DougLiman,ColumbiaPictures,TayeDiggs,Unknown,45.225,43,102,Crime,1999,April,0.91
NeverBeenKissed,RajaGosnell,20thCenturyFox,DrewBarrymore,Unknown,56.531,127.4,107,Romance,1999,April,0.57
AllAboutMyMother,PedroAlmodovar,SonyPicturesClassics,CeciliaRoth,Unknown,11.282,102.3,104,Drama,1999,April,0.98
GoodbyeLover,RolandJoffe,WarnerBros.Pictures,PatriciaArquette,Unknown,45.225,2.9,102,Comedy,1999,April,0.29
Life,TedDemme,UniversalPictures,EddieMurphy,Unknown,180.9,110.6,109,Comedy,1999,April,0.5
Lost&Found,JeffPollack,WarnerBros.Pictures,DavidSpade,Unknown,67.837,9.9,95,Romance,1999,April,0.13
PushingTin,MikeNewell,20thCenturyFox,JohnCusack,Unknown,74.621,12.7,124,Comedy,1999,April,0.48
Existenz,DavidCronenberg,MiramaxFilms,JenniferJasonLeigh,Unknown,33.919,4.4,97,SciFi,1999,April,0.73
Entrapment,JonAmiel,20thCenturyFox,SeanConnery,Unknown,149.242,320.2,113,Heist,1999,April,0.38
IdleHands,RodmanFlender,ColumbiaPictures,DevonSawa,Unknown,56.531,6.3,92,Horror,1999,April,0.16
TheMummy,StephenSommers,UniversalPictures,BrendanFraser,Unknown,181.652,629.6,125,Action,1999,May,0.57
Election,AlexanderPayne,ParamountPictures,MatthewBroderick,Unknown,56.766,22.6,103,Comedy,1999,May,0.93
Trippin,DavidRaynr,RoguePictures,DeonRichmond,Unknown,6.812,13.7,94,Comedy,1999,May,0.18
AMidsummerNightsDream,MichaelHoffman,FoxSearchlightPictures,RupertEverett,Unknown,24.977,24.4,116,Romance,1999,May,0.67
GhostDog:TheWayoftheSamurai,JimJarmusch,ArtisanEntertainment,ForestWhitaker,Unknown,4.541,14.2,116,Crime,1999,May,0.82
StarWars:EpisodeIThePhantomMenace,GeorgeLucas,20thCenturyFox,LiamNeeson,Unknown,261.125,1554.6,133,Epic,1999,May,0.55
TheLoveLetter,PeterChan,DreamWorksPictures,KateCapshaw,Unknown,45.413,12.6,88,Romance,1999,May,0.33
TheStraightStory,DavidLynch,BuenaVistaPictures,RichardFarnsworth,Unknown,22.706,9.4,112,Biography,1999,May,0.96
NottingHill,RogerMichell,UniversalPictures,JuliaRoberts,Unknown,95.367,551,124,Romance,1999,May,0.83
TheThirteenthFloor,JosefRusnak,ColumbiaPictures,CraigBierko,Unknown,36.33,28.1,100,SciFi,1999,May,0.29
Instinct,JonTurteltaub,BuenaVistaPictures,AnthonyHopkins,Unknown,181.942,51.7,126,Thriller,1999,June,0.27
AustinPowers:TheSpyWhoShaggedMe,JayRoach,NewLineCinema,MikeMyers,Unknown,75.051,473,95,Spy,1999,June,0.51
Tarzan,KevinLimaChrisBuck,BuenaVistaPictures,TonyGoldwyn,Unknown,295.655,679.6,88,Animated,1999,June,0.88
TheGeneralsDaughter,SimonWest,ParamountPictures,JohnTravolta,Unknown,216.056,225.9,116,Crime,1999,June,0.22
BigDaddy,DennisDugan,ColumbiaPictures,AdamSandler,Unknown,77.78,356,93,Comedy,1999,June,0.4
SouthPark:BiggerLonger&Uncut,TreyParker,ParamountPictures,TreyParker,Unknown,47.76,126,81,Animated,1999,June,0.81
WildWildWest,BarrySonnenfeld,WarnerBros.Pictures,WillSmith,Unknown,386.626,336.7,106,Western,1999,June,0.17
SummerofSam,SpikeLee,BuenaVistaPictures,JohnLeguizamo,Unknown,48.458,28.3,142,Crime,1999,July,0.51
AmericanPie,PaulWeitzChrisWeitz,UniversalPictures,JasonBiggs,Unknown,24.229,345.8,95,Comedy,1999,July,0.6
ArlingtonRoad,MarkPellington,ScreenGems,JeffBridges,Unknown,68.282,60.4,118,Thriller,1999,July,0.62
MuppetsfromSpace,TimHill,ColumbiaPictures,DaveGoelz,Unknown,52.863,32.7,87,SciFi,1999,July,0.63
TheBlairWitchProject,DanielMyrickEduardoSanchez,ArtisanEntertainment,HeatherDonahue,Unknown,0.132,365.1,81,Horror,1999,July,0.87
LakePlacid,SteveMiner,20thCenturyFox,BillPullman,Unknown,77.092,83.6,82,Horror,1999,July,0.4
EyesWideShut,StanleyKubrick,WarnerBros.Pictures,TomCruise,Unknown,143.171,238,159,Drama,1999,July,0.74
TheWood,RickFamuyiwa,ParamountPictures,TayeDiggs,Unknown,13.216,36.8,106,Drama,1999,July,0.61
DropDeadGorgeous,MichaelPatrickJann,NewLineCinema,KirstenDunst,Unknown,33.04,15.4,98,Comedy,1999,July,0.45
TheHaunting,JandeBont,DreamWorksPictures,LiamNeeson,Unknown,176.211,260.4,114,Horror,1999,July,0.16
InspectorGadget,DavidKellogg,BuenaVistaPictures,MatthewBroderick,Unknown,198.237,197.4,78,Action,1999,July,0.21
DeepBlueSea,RennyHarlin,WarnerBros.Pictures,SaffronBurrows,Unknown,180.616,241.7,105,SciFi,1999,July,0.56
RunawayBride,GarryMarshall,ParamountPictures,JuliaRoberts,Unknown,154.184,454.3,116,Romance,1999,July,0.45
Dick,AndrewFleming,ColumbiaPictures,KirstenDunst,Unknown,28.651,9.3,94,Comedy,1999,August,0.71
MysteryMen,KinkaUsher,UniversalPictures,BenStiller,Unknown,149.868,49.2,120,Superhero,1999,August,0.6
TheIronGiant,BradBird,WarnerBros.Pictures,EliMarienthal,Unknown,176.315,46,87,Animated,1999,August,0.96
TheSixthSense,M.NightShyamalan,BuenaVistaPictures,BruceWillis,Unknown,88.158,988.5,107,Horror,1999,August,0.85
TheThomasCrownAffair,JohnMcTiernan,MetroGoldwynMayer,PierceBrosnan,Unknown,105.789,182.6,113,Heist,1999,August,0.7
Bowfinger,FrankOz,UniversalPictures,SteveMartin,Unknown,121.217,144.9,97,Comedy,1999,August,0.81
BrokedownPalace,JonathanKaplan,20thCenturyFox,ClaireDanes,Unknown,55.099,14.9,100,Drama,1999,August,0.31
DetroitRockCity,AdamRifkin,NewLineCinema,EdwardFurlong,Unknown,37.467,8.5,94,Comedy,1999,August,0.48
MickeyBlueEyes,KellyMakin,WarnerBros.Pictures,HughGrant,Unknown,165.296,79.7,102,Romance,1999,August,0.45
TeachingMrs.Tingle,KevinWilliamson,MiramaxFilms,HelenMirren,Unknown,28.651,13.1,96,Comedy,1999,August,0.19
UniversalSoldier:TheReturn,MicRodgers,TriStarPictures,JeanClaudeVanDamme,Unknown,99.177,15.7,89,SciFi,1999,August,0.05
InTooDeep,MichaelRymer,MiramaxFilms,OmarEpps,Unknown,15.428,20.6,104,Crime,1999,August,0.36
The13thWarrior,JohnMcTiernan,BuenaVistaPictures,AntonioBanderas,Unknown,352.631,90.7,103,Action,1999,August,0.33
TheAstronautsWife,RandRavich,NewLineCinema,JohnnyDepp,Unknown,165.296,28.8,109,SciFi,1999,August,0.16
DudleyDoRight,HughWilson,UniversalPictures,BrendanFraser,Unknown,154.276,14.7,77,Comedy,1999,August,0.16
TheMuse,AlbertBrooks,OctoberFilms,AlbertBrooks,Unknown,33.059,17.1,97,Comedy,1999,August,0.53
ChillFactor,HughJohnson,WarnerBros.Pictures,CubaGoodingJr.,Unknown,74.972,17.2,101,Action,1999,September,0.11
OutsideProvidence,MichaelCorrente,MiramaxFilms,ShawnHatosy,Unknown,15.435,10.7,96,Comedy,1999,September,0.51
LoveStinks,JeffFranklin,ColumbiaPictures,FrenchStewart,Unknown,8.82,4.3,94,Comedy,1999,September,0.19
Stigmata,RupertWainwright,MetroGoldwynMayer,PatriciaArquette,Unknown,63.947,131.4,103,Horror,1999,September,0.21
StirofEchoes,DavidKoepp,ArtisanEntertainment,KevinBacon,Unknown,26.461,31,100,Horror,1999,September,0.67
AmericanBeauty,SamMendes,DreamWorksPictures,KevinSpacey,Unknown,33.076,523.8,122,Drama,1999,September,0.88
BlueStreak,LesMayfield,ColumbiaPictures,MartinLawrence,Unknown,79.382,173,93,Comedy,1999,September,0.36
BreakfastofChampions,AlanRudolph,BuenaVistaPictures,BruceWillis,Unknown,26.461,0.3,110,Comedy,1999,September,0.26
ForLoveoftheGame,SamRaimi,UniversalPictures,KevinCostner,Unknown,176.404,67.8,138,Sports,1999,September,0.46
DoubleJeopardy,BruceBeresford,ParamountPictures,TommyLeeJones,Unknown,88.202,260.2,105,Crime,1999,September,0.26
JakobtheLiar,PeterKassovitz,ColumbiaPictures,RobinWilliams,Unknown,99.227,7.3,120,Comedy,1999,September,0.29
Mumford,LawrenceKasdan,BuenaVistaPictures,HopeDavis,Unknown,61.742,6.7,112,Comedy,1999,September,0.56
TheAdventuresofElmoinGrouchland,GaryHalvorson,SonyPicturesReleasing,KevinClash,Unknown,57.193,17.2,77,Musical,1999,October,0.77
MysteryAlaska,JayRoach,BuenaVistaPictures,RussellCrowe,Unknown,61.592,13,119,Comedy,1999,October,0.38
ThreeKings,DavidO.Russell,WarnerBros.Pictures,GeorgeClooney,Unknown,105.587,157.9,114,Comedy,1999,October,0.94
RandomHearts,SydneyPollack,ColumbiaPictures,HarrisonFord,Unknown,140.783,109.4,133,Romance,1999,October,0.15
Superstar,BruceMcCulloch,ParamountPictures,MollyShannon,Unknown,30.796,44.9,81,Comedy,1999,October,0.32
TheOmegaCode,RobMarcarelli,TBNFilms,CasperVanDien,Unknown,15.838,18.5,100,Thriller,1999,October,0.08
FightClub,DavidFincher,20thCenturyFox,BradPitt,Unknown,138.583,148,139,Thriller,1999,October,0.79
TheStoryofUs,RobReiner,UniversalPictures,BruceWillis,Unknown,109.986,86.4,95,Romance,1999,October,0.28
Bats,LouisMorneau,DestinationFilms,LouDiamondPhillips,Unknown,11.549,15,91,Adventure,1999,October,0.17
BringingOuttheDead,MartinScorsese,ParamountPictures,NicolasCage,Unknown,70.391,24.6,121,Drama,1999,October,0.71
CrazyinAlabama,AntonioBanderas,ColumbiaPictures,MelanieGriffith,Unknown,32.996,2.9,111,Comedy,1999,October,0.3
TheBestMan,MalcolmD.Lee,UniversalPictures,TayeDiggs,Unknown,19.798,50.7,120,Romance,1999,October,0.72
ThreetoTango,DamonSantostefano,WarnerBros.Pictures,MatthewPerry,Unknown,43.995,15.5,98,Romance,1999,October,0.28
BoysDontCry,KimberlyPeirce,FoxSearchlightPictures,HilarySwank,Unknown,4.399,16.9,118,Biography,1999,October,0.88
HouseonHauntedHill,WilliamMalone,WarnerBros.Pictures,GeoffreyRush,Unknown,41.795,59.8,93,Horror,1999,October,0.28
MusicoftheHeart,WesCraven,MiramaxFilms,MerylStreep,Unknown,59.393,21.9,123,Drama,1999,October,0.63
TheBachelor,GarySinyor,NewLineCinema,ChrisODonnell,Unknown,46.168,54.1,101,Romance,1999,November,0.09
TheBoneCollector,PhillipNoyce,UniversalPictures,DenzelWashington,Unknown,105.527,222,118,Horror,1999,November,0.28
TheInsider,MichaelMann,BuenaVistaPictures,AlPacino,Unknown,149.496,88.2,157,Drama,1999,November,0.96
Pokemon:TheFirstMovie,KunihikoYuyama,Toho,RicaMatsumoto,Unknown,65.954,239.8,75,Animated,1999,November,0.14
LightItUp,CraigBolotin,20thCenturyFox,ForestWhitaker,Unknown,28.58,8.8,132,Crime,1999,November,0.39
Dogma,KevinSmith,Lionsgate,BenAffleck,Unknown,21.985,46,128,Fantasy,1999,November,0.67
TheMessenger:TheStoryofJoanofArc,LucBesson,Gaumont,MillaJovovich,Unknown,131.909,98.2,158,Epic,1999,November,0.3
AnywherebutHere,WayneWang,20thCenturyFox,SusanSarandon,Unknown,50.565,34.6,114,Comedy,1999,November,0.64
LibertyHeights,BarryLevinson,WarnerBros.Pictures,AdrienBrody,Unknown,24.183,5.4,127,Comedy,1999,November,0.87
SleepyHollow,TimBurton,ParamountPictures,JohnnyDepp,Unknown,219.848,303.4,105,Horror,1999,November,0.68
TheWorldIsNotEnough,MichaelApted,MGMDistribution,PierceBrosnan,Unknown,274.809,530.6,128,Spy,1999,November,0.51
EndofDays,PeterHyams,UniversalPictures,ArnoldSchwarzenegger,Unknown,219.848,310.7,123,Action,1999,November,0.11
ToyStory2,JohnLasseter,BuenaVistaPictures,TomHanks,Unknown,197.863,729,95,Animated,1999,November,1
Flawless,JoelSchumacher,MetroGoldwynMayer,RobertDeNiro,Unknown,32.977,6.6,112,Crime,1999,November,0.43
RidewiththeDevil,AngLee,UniversalPictures,TobeyMaguire,Unknown,83.542,0.9,138,Western,1999,November,0.63
TheEndoftheAffair,NeilJordan,ColumbiaPictures,RalphFiennes,Unknown,50.535,15.9,102,Drama,1999,December,0.67
TheGreenMile,FrankDarabont,WarnerBros.Pictures,TomHanks,Unknown,131.831,425.8,189,Crime,1999,December,0.8
TheCiderHouseRules,LasseHallstrom,BuenaVistaPictures,TobeyMaguire,Unknown,52.732,129.6,125,Drama,1999,December,0.71
DeuceBigalow:MaleGigolo,MikeMitchell,BuenaVistaPictures,RobSchneider,Unknown,37.352,136.1,88,Comedy,1999,December,0.23
AnnaandtheKing,AndyTennant,20thCenturyFox,JodieFoster,Unknown,202.141,167,148,Biography,1999,December,0.51
BicentennialMan,ChrisColumbus,BuenaVistaPictures,RobinWilliams,Unknown,219.718,128,132,SciFi,1999,December,0.36
StuartLittle,RobMinkoff,ColumbiaPictures,MichaelJ.Fox,Unknown,292.225,439.6,84,Comedy,1999,December,0.66
Magnolia,PaulThomasAnderson,NewLineCinema,TomCruise,Unknown,81.296,71,188,Drama,1999,December,0.83
AnyGivenSunday,OliverStone,WarnerBros.Pictures,AlPacino,Unknown,120.845,146.8,157,Sports,1999,December,0.51
ManontheMoon,MilosForman,UniversalPictures,JimCarrey,Unknown,180.169,69.4,119,Comedy,1999,December,0.63
GalaxyQuest,DeanParisot,DreamWorksPictures,TimAllen,Unknown,98.873,132.9,102,SciFi,1999,December,0.9
TheTalentedMr.Ripley,AnthonyMinghella,ParamountPictures,MattDamon,Unknown,87.887,188.7,139,Thriller,1999,December,0.83
AngelasAshes,AlanParker,ParamountPictures,EmilyWatson,Unknown,54.93,19,145,Drama,1999,December,0.52
TheHurricane,NormanJewison,UniversalPictures,DenzelWashington,Unknown,109.859,108.4,146,Sports,1999,December,0.83
NextFriday,SteveCarr,NewLineCinema,IceCube,Unknown,24.229,87.8,98,Comedy,2000,January,0.2
Supernova,WalterHill,MGMDistribution,JamesSpader,Unknown,198.235,21.7,90,SciFi,2000,January,0.1
MyDogSkip,JayRussell,WarnerBros.Pictures,FrankieMuniz,Unknown,9.912,52.2,95,Family,2000,January,0.73
DowntoYou,KrisIsacsson,BuenaVistaPictures,FreddiePrinzeJr.,Unknown,77.091,35.8,92,Romance,2000,January,0.03
EyeoftheBeholder,StephanElliott,DestinationFilms,EwanMcGregor,Unknown,77.091,25.8,110,Thriller,2000,January,0.09
IsntSheGreat,AndrewBergman,UniversalPictures,BetteMidler,Unknown,96.915,4.4,95,Comedy,2000,January,0.25
GunShy,EricBlakeney,BuenaVistaPictures,LiamNeeson,Unknown,30.794,4.4,101,Action,2000,February,0.24
Scream3,WesCraven,DimensionFilms,DavidArquette,Unknown,87.983,237.3,117,Horror,2000,February,0.36
SnowDay,ChrisKoch,ParamountPictures,ChrisElliott,Unknown,28.594,91.6,89,Comedy,2000,February,0.28
TheBeach,DannyBoyle,20thCenturyFox,LeonardoDiCaprio,Unknown,109.978,211.3,119,Drama,2000,February,0.2
TheTiggerMovie,JunFalkenstein,BuenaVistaPictures,JimCummings,Unknown,65.987,141.1,77,Animated,2000,February,0.62
BoilerRoom,BenYounger,NewLineCinema,GiovanniRibisi,Unknown,15.397,41.1,120,Crime,2000,February,0.67
HangingUp,DianeKeaton,ColumbiaPictures,MegRyan,Unknown,87.983,74.8,94,Comedy,2000,February,0.12
PitchBlack,DavidTwohy,USAFilms,VinDiesel,Unknown,50.59,78,109,SciFi,2000,February,0.57
TheWholeNineYards,JonathanLynn,WarnerBros.Pictures,BruceWillis,Unknown,90.842,156,98,Crime,2000,February,0.45
WonderBoys,CurtisHanson,ParamountPictures,MichaelDouglas,Unknown,120.976,49,111,Comedy,2000,February,0.81
ReindeerGames,JohnFrankenheimer,MiramaxFilms,BenAffleck,Unknown,92.382,47.2,104,Crime,2000,February,0.25
3Strikes,DJPooh,MGMDistribution,BrianHooks,Unknown,7.434,14.3,82,Comedy,2000,March,0
DrowningMona,NickGomez,DestinationFilms,DannyDeVito,Unknown,80.901,23.2,96,Crime,2000,March,0.29
TheNextBestThing,JohnSchlesinger,ParamountPictures,RupertEverett,Unknown,54.663,35.5,108,Comedy,2000,March,0.19
WhatPlanetAreYouFrom?,MikeNichols,ColumbiaPictures,GarryShandling,Unknown,131.191,20.6,105,SciFi,2000,March,0.42
MissiontoMars,BrianDePalma,BuenaVistaPictures,GarySinise,Unknown,218.651,161.8,114,SciFi,2000,March,0.25
TheNinthGate,RomanPolanski,ArtisanEntertainment,JohnnyDepp,Unknown,83.087,85.1,133,Thriller,2000,March,0.42
ErinBrockovich,StevenSoderbergh,UniversalPictures,JuliaRoberts,Unknown,113.699,373.6,130,Biography,2000,March,0.84
FinalDestination,JamesWong,NewLineCinema,DevonSawa,Unknown,50.29,164.6,98,Horror,2000,March,0.34
RomeoMustDie,AndrzejBartkowiak,WarnerBros.Pictures,JetLi,Unknown,54.663,132.6,115,Action,2000,March,0.33
HereonEarth,MarkPiznarski,20thCenturyFox,ChrisKlein,Unknown,32.798,14.6,96,Romance,2000,March,0.17
WhateverItTakes,DavidRaynr,ColumbiaPictures,ShaneWest,Unknown,69.968,13.1,94,Comedy,2000,March,0.16
HighFidelity,StephenFrears,BuenaVistaPictures,JohnCusack,Unknown,65.595,68.7,113,Romance,2000,March,0.91
PriceofGlory,CarlosAvila,NewLineCinema,JimmySmits,Unknown,39.357,4.4,118,Sports,2000,March,0.33
TheRoadtoElDorado,DonPaulEricBergeron,DreamWorksPictures,KevinKline,Unknown,207.719,111.4,89,Animated,2000,March,0.48
TheSkulls,RobCohen,UniversalPictures,PaulWalker,Unknown,32.798,74,107,Thriller,2000,March,0.09
LovesLaboursLost,KennethBranagh,BuenaVistaPictures,KennethBranagh,Unknown,28.425,0.4,93,Romance,2000,March,0.5
BlackandWhite,JamesToback,ScreenGems,RobertDowneyJr.,Unknown,26.327,7.3,98,Drama,2000,April,0.39
ReadytoRumble,BrianRobbins,WarnerBros.Pictures,DavidArquette,Unknown,52.654,18.3,107,Comedy,2000,April,0.23
ReturntoMe,BonnieHunt,MGMDistribution,DavidDuchovny,Unknown,52.654,52.7,115,Romance,2000,April,0.61
RulesofEngagement,WilliamFriedkin,ParamountPictures,TommyLeeJones,Unknown,131.635,104.9,128,War,2000,April,0.36
28Days,BettyThomas,ColumbiaPictures,SandraBullock,Unknown,94.339,91,104,Comedy,2000,April,0.31
AmericanPsycho,MaryHarron,Lionsgate,ChristianBale,Unknown,15.357,50.2,101,Comedy,2000,April,0.68
KeepingtheFaith,EdwardNorton,BuenaVistaPictures,BenStiller,Unknown,63.624,87.6,128,Romance,2000,April,0.69
WheretheMoneyIs,MarekKanievska,USAFilms,PaulNewman,Unknown,61.43,10.2,89,Comedy,2000,April,0.47
Gossip,DavisGuggenheim,WarnerBros.Pictures,JamesMarsden,Unknown,52.654,17.6,90,Thriller,2000,April,0.28
Love&Basketball,GinaPrinceBythewood,NewLineCinema,OmarEpps,Unknown,43.878,39.5,124,Romance,2000,April,0.82
U571,JonathanMostow,UniversalPictures,MatthewMcConaughey,Unknown,136.023,185.8,116,War,2000,April,0.68
TheFlintstonesinVivaRockVegas,BrianLevant,UniversalPictures,MarkAddy,Unknown,182.096,87,91,Comedy,2000,April,0.25
Frequency,GregoryHoblit,NewLineCinema,DennisQuaid,Unknown,68.012,99.6,118,SciFi,2000,April,0.7
WheretheHeartIs,MattWilliams,20thCenturyFox,NataliePortman,Unknown,32.909,58.5,120,Romance,2000,April,0.35
Gladiator,RidleyScott,DreamWorksPictures,RussellCrowe,Unknown,226.649,671.3,155,Epic,2000,May,0.77
IDreamedofAfrica,HughHudson,ColumbiaPictures,KimBasinger,Unknown,110.024,21.1,114,Biography,2000,May,0.1
BattlefieldEarth,RogerChristian,WarnerBros.Pictures,JohnTravolta,Unknown,160.635,43.6,117,SciFi,2000,May,0.03
CenterStage,NicholasHytner,ColumbiaPictures,AmandaSchull,Unknown,63.814,38.6,111,Drama,2000,May,0.43
HeldUp,SteveRash,TrimarkPictures,JamieFoxx,Unknown,17.604,5.9,89,Comedy,2000,May,0.17
Dinosaur,RalphZondagEricLeighton,BuenaVistaPictures,D.B.Sweeney,Unknown,280.561,513.2,82,Animated,2000,May,0.65
RoadTrip,ToddPhillips,DreamWorksPictures,BreckinMeyer,Unknown,35.208,175.7,94,Comedy,2000,May,0.57
SmallTimeCrooks,WoodyAllen,DreamWorksPictures,WoodyAllen,Unknown,55.012,43.9,95,Crime,2000,May,0.66
SavingGrace,NigelCole,20thCenturyFox,BrendaBlethyn,Unknown,22.005,38.6,93,Comedy,2000,May,0.63
Mission:Impossible2,JohnWoo,ParamountPictures,TomCruise,Unknown,275.06,801.6,123,Action,2000,May,0.57
ShanghaiNoon,TomDey,BuenaVistaPictures,JackieChan,Unknown,121.026,147.4,110,Western,2000,May,0.79
BigMommasHouse,RajaGosnell,20thCenturyFox,MartinLawrence,Unknown,65.774,252.9,98,Action,2000,June,0.3
Gonein60Seconds,DominicSena,BuenaVistaPictures,NicolasCage,Unknown,197.323,346.7,117,Action,2000,June,0.25
BoysandGirls,RobertIscove,MiramaxFilms,FreddiePrinzeJr.,Unknown,76.737,37.7,94,Romance,2000,June,0.11
Fantasia2000,Various,BuenaVistaPictures,JamesLevine,Unknown,186.361,132.9,75,Animated,2000,June,0.82
Shaft,JohnSingleton,ParamountPictures,SamuelL.Jackson,Unknown,100.854,156.7,99,Action,2000,June,0.68
TitanA.E.,DonBluthGaryGoldman,20thCenturyFox,MattDamon,Unknown,197.323,53.8,94,Animated,2000,June,0.51
ChickenRun,PeterLordNickPark,DreamWorksPictures,PhilDaniels,Unknown,98.662,328.9,84,Animated,2000,June,0.97
MeMyself&Irene,PeterFarrellyBobbyFarrelly,20thCenturyFox,JimCarrey,Unknown,111.816,217.8,116,Comedy,2000,June,0.47
ThePatriot,RolandEmmerich,ColumbiaPictures,MelGibson,Unknown,241.173,314.7,164,Epic,2000,June,0.61
TheAdventuresofRockyandBullwinkle,DesMcAnuff,UniversalPictures,ReneRusso,Unknown,166.628,51.3,92,Animated,2000,June,0.43
ThePerfectStorm,WolfgangPetersen,WarnerBros.Pictures,GeorgeClooney,Unknown,263.098,480.4,130,Disaster,2000,June,0.47
TheKid,JonTurteltaub,BuenaVistaPictures,BruceWillis,Unknown,138.117,156.2,104,Fantasy,2000,July,0.49
ScaryMovie,KeenenIvoryWayans,BuenaVistaPictures,CarmenElectra,Unknown,40.373,393.8,88,Horror,2000,July,0.53
XMen,BryanSinger,20thCenturyFox,PatrickStewart,Unknown,159.366,419.7,104,Superhero,2000,July,0.81
TheInCrowd,MaryLambert,WarnerBros.Pictures,SusanWard,Unknown,50.997,7.1,105,Thriller,2000,July,0.02
Loser,AmyHeckerling,ColumbiaPictures,JasonBiggs,Unknown,42.498,26.1,95,Romance,2000,July,0.24
